,Date,Country,City,Perpetrator,Fatalities,Injured,Target
115,2019-12-26,India,Patharhi,Tritiya Prastuti Committee (TPC),0,0,Business
116,2019-12-26,Nigeria,Gwoza district,Boko Haram,2,0,Private Citizens & Property
117,2019-12-26,Philippines,Cebu City,Unknown,0,2,Police
118,2019-12-26,Pakistan,Peshawar,Unknown,1,0,Private Citizens & Property
119,2019-12-26,Afghanistan,Khost,Taliban,0,5,Private Citizens & Property
120,2019-12-26,Afghanistan,Chimtal district,Taliban,7,3,Military
121,2019-12-26,Afghanistan,Qarabagh district,Unknown,2,0,Private Citizens & Property
122,2019-12-26,Kenya,Wardeglo,Al-Shabaab,0,0,Private Citizens & Property
123,2019-12-25,Egypt,Qabr Umayr,Sinai Province of the Islamic State,1,3,Private Citizens & Property
124,2019-12-25,United States,Cleveland,Unknown,0,0,Religious Figures/Institutions
125,2019-12-25,Syria,Unknown,Unknown,0,5,Private Citizens & Property
126,2019-12-25,Nigeria,Konduga district,Boko Haram,1,0,Military
127,2019-12-25,Saudi Arabia,Anoud,Unknown,2,0,Private Citizens & Property
128,2019-12-25,Iraq,Baghdad,Unknown,0,4,Private Citizens & Property
129,2019-12-25,Iraq,Baghdad,Unknown,0,3,Private Citizens & Property
130,2019-12-25,Iraq,Baghdad,Unknown,0,2,Private Citizens & Property
131,2019-12-25,Iraq,Dhuluiya,Islamic State of Iraq and the Levant (ISIL),3,4,"Military,Military"
132,2019-12-25,Afghanistan,Kunduz,Taliban,1,2,Police
133,2019-12-25,Mozambique,Marere,Unknown,0,Unknown,Private Citizens & Property
134,2019-12-25,Mozambique,Mocimboa da Praia district,Unknown,0,0,Business
135,2019-12-25,Mozambique,Chitunda,Muslim extremists,0,0,Private Citizens & Property
136,2019-12-25,Pakistan,Shawa,Unknown,1,0,Military
137,2019-12-25,Yemen,Bayt Maghari,Houthi extremists (Ansar Allah),0,Unknown,Private Citizens & Property
138,2019-12-25,Afghanistan,Obe district,Unknown,0,0,Business
139,2019-12-25,Pakistan,Qutabkhel,Unknown,0,0,Military
140,2019-12-25,Sudan,Gureisha,Unknown,1,4,Private Citizens & Property
141,2019-12-25,Iraq,Baghdad,Unknown,0,4,Private Citizens & Property
142,2019-12-25,Afghanistan,Khairmani,Unknown,0,1,Police
143,2019-12-25,Afghanistan,Nozy Khwali,Unknown,1,1,Police
144,2019-12-25,Israel,Ashkelon,Palestinian Islamic Jihad (PIJ),0,0,Private Citizens & Property
145,2019-12-25,Nepal,Ishanath,Unknown,0,0,Government (General)
146,2019-12-25,Niger,Sanam,Boko Haram,14,4,"Police,Military"
147,2019-12-25,India,Vyalikaval,Unknown,0,0,Violent Political Party
148,2019-12-25,Nigeria,Unknown,Boko Haram,11,0,Private Citizens & Property
149,2019-12-25,Burkina Faso,Alale,Jamaat Nusrat al-Islam wal Muslimin (JNIM),16,0,Military
150,2019-12-25,India,Kekrang,Communist Party of India - Maoist (CPI-Maoist),0,1,Police
151,2019-12-24,Afghanistan,Qudosabad,Taliban,3,0,Government (General)
152,2019-12-24,Afghanistan,Poshkoh,Taliban,1,0,Military
153,2019-12-24,Iraq,Zab,Unknown,0,3,Military
154,2019-12-24,Afghanistan,Ghazni,Unknown,1,0,Police
155,2019-12-24,Iraq,Kashaf,Unknown,2,5,Military
156,2019-12-24,Iraq,Dibis district,Islamic State of Iraq and the Levant (ISIL),1,2,"Business,Police"
157,2019-12-24,Iraq,Salahiya,Islamic State of Iraq and the Levant (ISIL),2,3,Police
158,2019-12-24,Afghanistan,Kandahar,Unknown,0,5,"Police,Private Citizens & Property"
159,2019-12-24,Libya,Tajura,Unknown,4,6,Private Citizens & Property
160,2019-12-24,Afghanistan,Shakarman,Taliban,3,2,Unknown
161,2019-12-24,Myanmar,Kyauk Rit,Arakan Army (AA),Unknown,Unknown,"Government (General),Government (General)"
162,2019-12-24,Philippines,Abgao,Unknown,1,0,Police
163,2019-12-24,Afghanistan,Kajran district,Taliban,8,0,Military
164,2019-12-24,Afghanistan,Unknown,Taliban,2,0,Police
165,2019-12-24,Yemen,Dali,Unknown,0,0,NGO
166,2019-12-24,Philippines,Shariff Aguak,Unknown,2,1,Government (General)
167,2019-12-24,Afghanistan,Khili Guli,Taliban,7,6,"Military,Government (General)"
168,2019-12-24,Afghanistan,Bala Buluk district,Taliban,0,0,Private Citizens & Property
169,2019-12-24,Nigeria,Kwarangulum,Boko Haram,5,3,"Private Citizens & Property,Educational Institution"
170,2019-12-24,Nigeria,Otuoke,Unknown,3,1,Government (General)
171,2019-12-24,Mozambique,Mutindiri,Renamo Military Junta,10,9,Private Citizens & Property
172,2019-12-24,Brazil,Rio de Janeiro,Popular Nationalist Insurgency Command of the Large Brazilian Integralist Family,0,0,Business
173,2019-12-24,Burkina Faso,Arbinda,Islamic State in the Greater Sahara (ISGS),57,13,"Private Citizens & Property,Military"
174,2019-12-24,Burkina Faso,Arbinda,Islamic State in the Greater Sahara (ISGS),58,13,Military
175,2019-12-24,Somalia,Kulbiyow,Al-Shabaab,0,0,Military
176,2019-12-24,India,Kekrang,Communist Party of India - Maoist (CPI-Maoist),1,4,"Police,Private Citizens & Property"
177,2019-12-23,Yemen,Aden,Unknown,0,0,Military
178,2019-12-23,Yemen,Talil,Southern Resistance Forces (SRF),0,0,Military
179,2019-12-23,Yemen,Mahfad district,Southern Resistance Forces (SRF),0,3,Military
180,2019-12-23,Democratic Republic of the Congo,Bilikuwa,Lord's Resistance Army (LRA),Unknown,Unknown,Private Citizens & Property
181,2019-12-23,Afghanistan,Qalay-i-Zal district,Taliban,1,1,Police
182,2019-12-23,India,Kupwara,Unknown,2,0,Military
183,2019-12-23,Greece,Thessaloniki,Unknown,0,0,Government (General)
184,2019-12-23,Nigeria,Pulka,Boko Haram,4,Unknown,Military
185,2019-12-23,Mozambique,Marare,Unknown,0,0,Private Citizens & Property
186,2019-12-23,Iraq,Qaim district,Unknown,2,1,Military
187,2019-12-23,Afghanistan,Khas,Taliban,3,7,Private Citizens & Property
188,2019-12-23,Syria,Suluk,Kurdistan Workers' Party (PKK),5,20,Private Citizens & Property
189,2019-12-22,Nigeria,Damaturu,Boko Haram,31,2,Military
190,2019-12-23,Philippines,Tagkawayan district,New People's Army (NPA),0,0,Military
191,2019-12-23,Philippines,Singon,New People's Army (NPA),0,2,Police
192,2019-12-23,Philippines,Baay,New People's Army (NPA),1,6,Military
193,2019-12-23,Somalia,Goof Gaduud,Al-Shabaab,11,Unknown,Military
194,2019-12-23,India,Rajgurwa,Communist Party of India - Maoist (CPI-Maoist),0,0,Business
195,2019-12-22,Yemen,Taizz,Unknown,0,0,Journalists & Media
196,2019-12-22,Syria,Bab,Unknown,0,Unknown,"Terrorists/Non-state Militia,Private Citizens & Property"
197,2019-12-22,Syria,Bab,Unknown,0,Unknown,"Government (General),Private Citizens & Property"
198,2019-12-22,Afghanistan,Chaproudha,Taliban,1,0,Military
199,2019-12-22,Iraq,Adhaim,Islamic State of Iraq and the Levant (ISIL),1,0,Military
200,2019-12-22,Cameroon,Daba Lamy,Boko Haram,50,0,"Private Citizens & Property,Private Citizens & Property,Private Citizens & Property"
201,2019-12-22,Nigeria,Tungushe,Boko Haram,9,0,Military
202,2019-12-22,Yemen,Hays district,Houthi extremists (Ansar Allah),0,0,Military
203,2019-12-22,Nigeria,Oredo district,Unknown,0,0,Private Citizens & Property
204,2019-12-22,Somalia,Dhusamareb,Al-Shabaab,0,Unknown,Private Citizens & Property
205,2019-12-22,China,Hong Kong,Unknown,0,0,Police
206,2019-12-22,Mozambique,Marere,Unknown,0,0,Private Citizens & Property
207,2019-12-21,Yemen,Sirwah district,Houthi extremists (Ansar Allah),4,4,Military
208,2019-12-22,India,Kulgam district,Unknown,0,1,Military
209,2019-12-22,India,Kishtwar district,Unknown,0,2,Police
210,2019-12-22,Colombia,Tibu district,Unknown,1,2,Private Citizens & Property
211,2019-12-22,United States,Andrews,Unknown,0,0,Religious Figures/Institutions
212,2019-12-22,Philippines,Cotabato City,"Bangsamoro Islamic Freedom Movement (BIFM) (suspected),Maute Group (suspected)",0,1,Military
213,2019-12-22,Nigeria,Maina Hari,Boko Haram,2,13,Private Citizens & Property
214,2019-12-22,Philippines,Upi district,"Bangsamoro Islamic Freedom Movement (BIFM) (suspected),Maute Group (suspected)",0,2,Private Citizens & Property
215,2019-12-22,Philippines,Poblacion,"Bangsamoro Islamic Freedom Movement (BIFM) (suspected),Maute Group (suspected)",0,6,Unknown
216,2019-12-22,Philippines,Cotabato City,"Bangsamoro Islamic Freedom Movement (BIFM) (suspected),Maute Group (suspected)",0,9,"Military,Religious Figures/Institutions"
217,2019-12-22,Nigeria,Gasarwa,Boko Haram,6,0,"NGO,Police,Private Citizens & Property"
218,2019-12-22,Kenya,Kutulo,Unknown,0,0,Police
219,2019-12-22,Kenya,Unknown,Al-Shabaab,0,0,Business
